word,lemma,part_of_speech,cefr,english,tense,person
essere,essere,verb_form,A1,to be,infinitive,
sono,essere,verb_form,A1,to be,present,io
sei,essere,verb_form,A1,to be,present,tu
è,essere,verb_form,A1,to be,present,lui/lei
siamo,essere,verb_form,A1,to be,present,noi
siete,essere,verb_form,A1,to be,present,voi
sono,essere,verb_form,A1,to be,present,loro
ero,essere,verb_form,A1,to be,imperfect,io
eri,essere,verb_form,A1,to be,imperfect,tu
era,essere,verb_form,A1,to be,imperfect,lui/lei
eravamo,essere,verb_form,A1,to be,imperfect,noi
eravate,essere,verb_form,A1,to be,imperfect,voi
erano,essere,verb_form,A1,to be,imperfect,loro
stato,essere,verb_form,A1,to be,past_participle,
essendo,essere,verb_form,A1,to be,gerund,
sarò,essere,verb_form,A1,to be,future,io
sarai,essere,verb_form,A1,to be,future,tu
sarà,essere,verb_form,A1,to be,future,lui/lei
saremo,essere,verb_form,A1,to be,future,noi
sarete,essere,verb_form,A1,to be,future,voi
saranno,essere,verb_form,A1,to be,future,loro
sarei,essere,verb_form,A1,to be,conditional,io
saresti,essere,verb_form,A1,to be,conditional,tu
sarebbe,essere,verb_form,A1,to be,conditional,lui/lei
saremmo,essere,verb_form,A1,to be,conditional,noi
sareste,essere,verb_form,A1,to be,conditional,voi
sarebbero,essere,verb_form,A1,to be,conditional,loro
avere,avere,verb_form,A1,to have,infinitive,
ho,avere,verb_form,A1,to have,present,io
hai,avere,verb_form,A1,to have,present,tu
ha,avere,verb_form,A1,to have,present,lui/lei
abbiamo,avere,verb_form,A1,to have,present,noi
avete,avere,verb_form,A1,to have,present,voi
hanno,avere,verb_form,A1,to have,present,loro
avevo,avere,verb_form,A1,to have,imperfect,io
avevi,avere,verb_form,A1,to have,imperfect,tu
aveva,avere,verb_form,A1,to have,imperfect,lui/lei
avevamo,avere,verb_form,A1,to have,imperfect,noi
avevate,avere,verb_form,A1,to have,imperfect,voi
avevano,avere,verb_form,A1,to have,imperfect,loro
avuto,avere,verb_form,A1,to have,past_participle,
avendo,avere,verb_form,A1,to have,gerund,
avrò,avere,verb_form,A1,to have,future,io
avrai,avere,verb_form,A1,to have,future,tu
avrà,avere,verb_form,A1,to have,future,lui/lei
avremo,avere,verb_form,A1,to have,future,noi
avrete,avere,verb_form,A1,to have,future,voi
avranno,avere,verb_form,A1,to have,future,loro
avrei,avere,verb_form,A1,to have,conditional,io
avresti,avere,verb_form,A1,to have,conditional,tu
avrebbe,avere,verb_form,A1,to have,conditional,lui/lei
avremmo,avere,verb_form,A1,to have,conditional,noi
