lemma_id,lemma,pos,cefr,english_gloss,frequency_rank,domain,difficulty
lem_283213818f,io,pronoun,A1,I,1,general,1
lem_c6a2e25e88,tu,pronoun,A1,you (singular),2,general,1
lem_3da9cd27dd,lui,pronoun,A1,he,3,general,1
lem_40398349a4,lei,pronoun,A1,she,4,general,1
lem_ea07970e6c,noi,pronoun,A1,we,5,general,1
lem_0e748c6837,voi,pronoun,A1,you (plural),6,general,1
lem_b85cd81055,loro,pronoun,A1,they,7,general,1
lem_9e87f0515b,mi,pronoun,A1,me,8,general,1
lem_7d7ae04762,ti,pronoun,A1,you (obj),9,general,1
lem_ee9796d26e,si,pronoun,A1,self,10,general,1
lem_0c4aebaba7,il,article,A1,the (m),11,general,1
lem_fd4db08172,la,article,A1,the (f),12,general,1
lem_7851a5fda0,i,article,A1,the (pl m),13,general,1
lem_16c5471787,le,article,A1,the (pl f),14,general,1
lem_78e1fb9f80,un,article,A1,a (m),15,general,1
lem_512034b1d1,una,article,A1,a (f),16,general,1
lem_12be6b287d,di,preposition,A1,of,17,general,1
lem_01051813b8,a,preposition,A1,to / at,18,general,1
lem_d1213ffb41,da,preposition,A1,from,19,general,1
lem_b3a37ff1a5,in,preposition,A1,in / to,20,general,1
lem_9a101d6f71,con,preposition,A1,with,21,general,1
lem_783bb6e946,per,preposition,A1,for,22,general,1
lem_99c37e6962,su,preposition,A1,on,23,general,1
lem_e0479fb432,tra,preposition,A1,between,24,general,1
lem_1ec5832978,fra,preposition,A1,between,25,general,1
lem_ec87dac107,e,conjunction,A1,and,26,general,1
lem_df94a7e85a,o,conjunction,A1,or,27,general,1
lem_38eee54444,ma,conjunction,A1,but,28,general,1
lem_2e5ef465a9,perché,conjunction,A1,because / why,29,general,1
lem_82c70f0187,che,conjunction,A1,that / which,30,general,1
lem_60bd9c8b84,se,conjunction,A1,if,31,general,1
lem_95f61c585d,quando,conjunction,A1,when,32,general,1
lem_c10c75a524,poi,adverb,A1,then,33,general,1
lem_b17e38eb0c,dopo,adverb,A1,after,34,general,1
lem_164e636819,prima,adverb,A1,before,35,general,1
lem_a7621544ce,sempre,adverb,A1,always,36,general,1
lem_7a2cef5fa6,mai,adverb,A1,never,37,general,1
lem_cd8b8b8f3a,spesso,adverb,A1,often,38,general,1
lem_45e6bffae8,oggi,adverb,A1,today,39,general,1
lem_074de05867,ieri,adverb,A1,yesterday,40,general,1
lem_7db5732974,domani,adverb,A1,tomorrow,41,general,1
lem_e838ff370c,adesso,adverb,A1,now,42,general,1
lem_ce4f91e622,persona,noun,A1,person,43,general,1
lem_3539672e66,famiglia,noun,A1,family,44,general,1
lem_2f17d2d13b,amico,noun,A1,friend,45,general,1
lem_e2b064aa7f,madre,noun,A1,mother,46,general,1
lem_cfbefcb702,padre,noun,A1,father,47,general,1
lem_515cece4cb,casa,noun,A1,home,48,home,1
lem_93cd150d96,città,noun,A1,city,49,general,1
lem_bd04bc9855,scuola,noun,A1,school,50,education,1
lem_601d6e0979,lavoro,noun,A1,work,51,work,1
lem_b26b37a7b0,tempo,noun,A1,time / weather,52,general,1
lem_543d42dc33,giorno,noun,A1,day,53,general,1
lem_1f8666c999,settimana,noun,A1,week,54,general,1
lem_e9e846bcb8,mese,noun,A1,month,55,general,1
lem_deb2ce25f6,anno,noun,A1,year,56,general,1
lem_f7df8e6118,cibo,noun,A1,food,57,food,1
lem_35b849d071,acqua,noun,A1,water,58,food,1
lem_0b1cdef932,pane,noun,A1,bread,59,food,1
lem_649229f437,pasta,noun,A1,pasta,60,food,1
lem_325e3d1575,carne,noun,A1,meat,61,food,1
lem_f1991a1c76,frutta,noun,A1,fruit,62,food,1
lem_92436e39bf,verdura,noun,A1,vegetables,63,food,1
lem_640f29e554,caffè,noun,A1,coffee,64,food,1
lem_1c38eb2cc9,libro,noun,A1,book,65,general,1
lem_d6861ac242,film,noun,A1,movie,66,general,1
lem_6b77e4e36c,telefono,noun,A1,phone,67,general,1
lem_0e4b1091a0,problema,noun,A2,problem,68,general,2
lem_1ccc32cee4,soluzione,noun,B1,solution,69,general,3
lem_504de151b1,idea,noun,A2,idea,70,general,2
lem_1c909850c2,lingua,noun,A2,language,71,general,2
lem_9ab989a566,parola,noun,A1,word,72,general,1
lem_4c57c791ed,frase,noun,A2,sentence,73,general,2
lem_75ccf7038d,vocabolario,noun,A2,vocabulary,74,general,2
lem_3165dcc978,grammatica,noun,A2,grammar,75,general,2
lem_68b9c6de3c,pronuncia,noun,B1,pronunciation,76,general,3
lem_8f9415fb67,buono,adjective,A1,good,77,general,1
lem_e124c496b4,cattivo,adjective,A1,bad,78,general,1
lem_c975a48fc8,grande,adjective,A1,big,79,general,1
lem_939a4691d9,piccolo,adjective,A1,small,80,general,1
lem_4815f356d6,bello,adjective,A1,beautiful,81,general,1
