wordform_id,wordform,lemma_id,pos,cefr,english_gloss,tense,person,number,gender
wf_37bbe47ac9,essere,lem_93d2f03517,verb_form,A1,to be,infinitive,nan,,
wf_6a662562b8,sono,lem_93d2f03517,verb_form,A1,to be,present,io,,
wf_e7bc479f14,sei,lem_93d2f03517,verb_form,A1,to be,present,tu,,
wf_290739c4c8,è,lem_93d2f03517,verb_form,A1,to be,present,lui/lei,,
wf_d3253d7e32,siamo,lem_93d2f03517,verb_form,A1,to be,present,noi,,
wf_c6aff9606c,siete,lem_93d2f03517,verb_form,A1,to be,present,voi,,
wf_cd0164efcb,sono,lem_93d2f03517,verb_form,A1,to be,present,loro,,
wf_360670c586,ero,lem_93d2f03517,verb_form,A1,to be,imperfect,io,,
wf_7b04dd2e73,eri,lem_93d2f03517,verb_form,A1,to be,imperfect,tu,,
wf_c96bf83c36,era,lem_93d2f03517,verb_form,A1,to be,imperfect,lui/lei,,
wf_cbcb1366aa,eravamo,lem_93d2f03517,verb_form,A1,to be,imperfect,noi,,
wf_852877586b,eravate,lem_93d2f03517,verb_form,A1,to be,imperfect,voi,,
wf_610fa357f7,erano,lem_93d2f03517,verb_form,A1,to be,imperfect,loro,,
wf_0c8d5a1eb4,stato,lem_93d2f03517,verb_form,A1,to be,past_participle,nan,,
wf_491f7e456e,essendo,lem_93d2f03517,verb_form,A1,to be,gerund,nan,,
wf_c6fcc0c1ef,sarò,lem_93d2f03517,verb_form,A1,to be,future,io,,
wf_2ffc19f779,sarai,lem_93d2f03517,verb_form,A1,to be,future,tu,,
wf_2ecbc2685d,sarà,lem_93d2f03517,verb_form,A1,to be,future,lui/lei,,
wf_9b63693ce7,saremo,lem_93d2f03517,verb_form,A1,to be,future,noi,,
wf_a99ac92d7d,sarete,lem_93d2f03517,verb_form,A1,to be,future,voi,,
wf_fd30f1a4c8,saranno,lem_93d2f03517,verb_form,A1,to be,future,loro,,
wf_bd9db947ad,sarei,lem_93d2f03517,verb_form,A1,to be,conditional,io,,
wf_37b345678b,saresti,lem_93d2f03517,verb_form,A1,to be,conditional,tu,,
wf_d9c27801dd,sarebbe,lem_93d2f03517,verb_form,A1,to be,conditional,lui/lei,,
wf_1e84338a0a,saremmo,lem_93d2f03517,verb_form,A1,to be,conditional,noi,,
wf_3571a0390c,sareste,lem_93d2f03517,verb_form,A1,to be,conditional,voi,,
wf_67c3e8e00d,sarebbero,lem_93d2f03517,verb_form,A1,to be,conditional,loro,,
wf_7f77d9ea8b,avere,lem_cbcf7e5114,verb_form,A1,to have,infinitive,nan,,
wf_65c44f1f71,ho,lem_cbcf7e5114,verb_form,A1,to have,present,io,,
wf_7f4d119fcc,hai,lem_cbcf7e5114,verb_form,A1,to have,present,tu,,
wf_de25d56d70,ha,lem_cbcf7e5114,verb_form,A1,to have,present,lui/lei,,
wf_43f77f7740,abbiamo,lem_cbcf7e5114,verb_form,A1,to have,present,noi,,
wf_3d5bfb920c,avete,lem_cbcf7e5114,verb_form,A1,to have,present,voi,,
wf_1e2d09023b,hanno,lem_cbcf7e5114,verb_form,A1,to have,present,loro,,
wf_da67dcf644,avevo,lem_cbcf7e5114,verb_form,A1,to have,imperfect,io,,
wf_ad035ad765,avevi,lem_cbcf7e5114,verb_form,A1,to have,imperfect,tu,,
wf_01bc504981,aveva,lem_cbcf7e5114,verb_form,A1,to have,imperfect,lui/lei,,
wf_9f885d79ba,avevamo,lem_cbcf7e5114,verb_form,A1,to have,imperfect,noi,,
wf_60a8409d5f,avevate,lem_cbcf7e5114,verb_form,A1,to have,imperfect,voi,,
wf_706e773972,avevano,lem_cbcf7e5114,verb_form,A1,to have,imperfect,loro,,
wf_d61175d873,avuto,lem_cbcf7e5114,verb_form,A1,to have,past_participle,nan,,
wf_33d60ff483,avendo,lem_cbcf7e5114,verb_form,A1,to have,gerund,nan,,
wf_c0463f7555,avrò,lem_cbcf7e5114,verb_form,A1,to have,future,io,,
wf_798c0cf769,avrai,lem_cbcf7e5114,verb_form,A1,to have,future,tu,,
wf_1d4577322a,avrà,lem_cbcf7e5114,verb_form,A1,to have,future,lui/lei,,
wf_4080403a75,avremo,lem_cbcf7e5114,verb_form,A1,to have,future,noi,,
wf_fdc0a1ad7d,avrete,lem_cbcf7e5114,verb_form,A1,to have,future,voi,,
wf_81da8ed75c,avranno,lem_cbcf7e5114,verb_form,A1,to have,future,loro,,
wf_3586c86e34,avrei,lem_cbcf7e5114,verb_form,A1,to have,conditional,io,,
wf_5f76635d5f,avresti,lem_cbcf7e5114,verb_form,A1,to have,conditional,tu,,
wf_e9084b87ef,avrebbe,lem_cbcf7e5114,verb_form,A1,to have,conditional,lui/lei,,
wf_7e5ab65d03,avremmo,lem_cbcf7e5114,verb_form,A1,to have,conditional,noi,,
wf_9c0bc87b62,avreste,lem_cbcf7e5114,verb_form,A1,to have,conditional,voi,,
wf_06bf44904f,avrebbero,lem_cbcf7e5114,verb_form,A1,to have,conditional,loro,,
wf_eaf9ec57ae,fare,lem_4f82e531da,verb_form,A1,to do / to make,infinitive,nan,,
wf_27402216fe,faccio,lem_4f82e531da,verb_form,A1,to do / to make,present,io,,
wf_822e375df7,fai,lem_4f82e531da,verb_form,A1,to do / to make,present,tu,,
